robot_a,robot_b,effect_a_minus_b,p_success_do_a,p_success_do_b,wins_a,losses_a,ties,paired_units
pr2,hsrb,0.5617977528089888,0.5842696629213483,0.02247191011235955,50,0,39,89
pr2,stretch,0.3932584269662921,0.5842696629213483,0.19101123595505617,37,2,50,89
tiago,hsrb,0.38202247191011235,0.4044943820224719,0.02247191011235955,34,0,55,89
tiago,stretch,0.21348314606741572,0.4044943820224719,0.19101123595505617,25,6,58,89
pr2,tiago,0.1797752808988764,0.5842696629213483,0.4044943820224719,19,3,67,89
stretch,hsrb,0.16853932584269662,0.19101123595505617,0.02247191011235955,17,2,70,89
hsrb,stretch,-0.16853932584269662,0.02247191011235955,0.19101123595505617,2,17,70,89
tiago,pr2,-0.1797752808988764,0.4044943820224719,0.5842696629213483,3,19,67,89
stretch,tiago,-0.21348314606741572,0.19101123595505617,0.4044943820224719,6,25,58,89
hsrb,tiago,-0.38202247191011235,0.02247191011235955,0.4044943820224719,0,34,55,89
stretch,pr2,-0.3932584269662921,0.19101123595505617,0.5842696629213483,2,37,50,89
hsrb,pr2,-0.5617977528089888,0.02247191011235955,0.5842696629213483,0,50,39,89
