cause,intervention_type,low_or_reference_value,high_or_comparison_value,expected_target_at_low_or_reference,expected_target_at_high_or_comparison,average_causal_effect,absolute_effect,baseline_expected_target,non_null_rows,unique_values
object_world_z,numeric_q25_q75,0.81,0.966814,0.4848653497183559,0.5223822093653268,0.03751685964697088,0.03751685964697088,0.49459767290334666,2371,15
target_world_z,numeric_q25_q75,0.81,0.966814,0.4862728434604311,0.5181940378196838,0.03192119435925267,0.03192119435925267,0.49459767290334666,2371,15
object_world_y,numeric_q25_q75,-0.3780545,2.1794765,0.4901227755628314,0.471179865906225,-0.018942909656606388,0.018942909656606388,0.49459767290334666,2371,2370
cut_normal_world_y,numeric_q25_q75,-0.7054525,0.7130415,0.49790716929767165,0.4790732829561083,-0.018833886341563355,0.018833886341563355,0.49459767290334666,2371,2368
object_size_z,numeric_q25_q75,0.065031,0.078038,0.5006471826492215,0.4862793560138687,-0.014367826635352798,0.014367826635352798,0.49459767290334666,2371,4
object_yaw_rad,numeric_q25_q75,-1.553379,1.5445894999999998,0.4990939576209587,0.4851279769618742,-0.013965980659084498,0.013965980659084498,0.49459767290334666,2371,2371
target_world_y,numeric_q25_q75,-0.3780545,2.1794765,0.48683216785538935,0.4742339677933682,-0.01259820006202117,0.01259820006202117,0.49459767290334666,2371,2370
object_aabb_min_y,numeric_q25_q75,-0.05902,-0.049183,0.48844545342554724,0.5005362961946729,0.012090842769125643,0.012090842769125643,0.49459767290334666,2371,4
object_size_y,numeric_q25_q75,0.097098,0.116518,0.500091458600264,0.4880311142652273,-0.012060344335036777,0.012060344335036777,0.49459767290334666,2371,4
object_volume_aabb,numeric_q25_q75,0.00165535,0.00286045,0.4996572321118929,0.4881377865313557,-0.011519445580537191,0.011519445580537191,0.49459767290334666,2371,4
object_aabb_min_x,numeric_q25_q75,-0.153728,-0.128106,0.48854881323937843,0.4999305291541399,0.011381715914761448,0.011381715914761448,0.49459767290334666,2371,4
cut_normal_world_yaw_rad,numeric_q25_q75,-1.553379,1.5445894999999998,0.4976721759254268,0.4876134328962166,-0.010058743029210171,0.010058743029210171,0.49459767290334666,2371,2371
object_aabb_max_y,numeric_q25_q75,0.047915,0.057498,0.49951187401709907,0.4898219779627407,-0.009689896054358382,0.009689896054358382,0.49459767290334666,2371,4
anchor_norm_x,numeric_q25_q75,0.07947,0.095364,0.4899585527952637,0.4993427431982739,0.009384190403010195,0.009384190403010195,0.49459767290334666,2371,4
object_aabb_min_z,numeric_q25_q75,-0.03512,-0.029267,0.49019544050003233,0.4993098508623188,0.009114410362286496,0.009114410362286496,0.49459767290334666,2371,4
anchor_local_y,numeric_q25_q75,-0.000761,-0.000634,0.4903692177536626,0.49896110680009786,0.008591889046435264,0.008591889046435264,0.49459767290334666,2371,4
object_aabb_max_z,numeric_q25_q75,0.035765,0.042917,0.49899902067139773,0.4908436800741321,-0.008155340597265637,0.008155340597265637,0.49459767290334666,2371,4
cut_normal_world_x,numeric_q25_q75,-0.710666,0.7015745,0.4920849658622168,0.48410339359227744,-0.007981572269939341,0.007981572269939341,0.49459767290334666,2371,2368
object_size_x,numeric_q25_q75,0.262154,0.314585,0.4987186349873471,0.49087531987134964,-0.007843315115997451,0.007843315115997451,0.49459767290334666,2371,4
anchor_local_x,numeric_q25_q75,-0.128728,-0.103106,0.4911506088361917,0.49839380052563304,0.0072431916894413195,0.0072431916894413195,0.49459767290334666,2371,4
object_quat_z,numeric_q25_q75,-0.2784705,0.9248425,0.4965281867469548,0.4895545526530143,-0.006973634093940528,0.006973634093940528,0.49459767290334666,2371,2367
object_aabb_max_x,numeric_q25_q75,0.134048,0.160858,0.4985055068036095,0.4915905930991945,-0.006914913704414993,0.006914913704414993,0.49459767290334666,2371,4
anchor_local_z,numeric_q25_q75,-0.031218,-0.026015,0.4926426983195523,0.4977161137209899,0.005073415401437575,0.005073415401437575,0.49459767290334666,2371,4
target_world_x,numeric_q25_q75,1.445918,2.578613,0.4928405815026226,0.4962814808315702,0.0034408993289475887,0.0034408993289475887,0.49459767290334666,2371,2365
object_world_x,numeric_q25_q75,1.445918,2.578613,0.49476648416267394,0.49755539327224646,0.002788909109572524,0.002788909109572524,0.49459767290334666,2371,2365
object_quat_w,numeric_q25_q75,0.2581725,0.9223815,0.48902496564875364,0.4871923866312418,-0.0018325790175118262,0.0018325790175118262,0.49459767290334666,2371,2365
