stratum,rows,weight,pr2_rows,hsrb_rows,pr2_success_rate_smoothed,hsrb_success_rate_smoothed,pr2_minus_hsrb,common_support
1,47,0.06782106782106782,23,24,0.7786363636363636,0.2542296413264155,0.524406722309948,True
2,39,0.05627705627705628,22,17,0.8110795454545454,0.3478931933940423,0.4631863520605031,True
3,34,0.049062049062049064,18,16,0.8732954545454545,0.47833170413815573,0.3949637504072988,True
4,27,0.03896103896103896,14,13,0.9041193181818181,0.3739980449657869,0.5301212732160312,True
5,25,0.03607503607503607,14,11,0.9041193181818181,0.12384389803744641,0.7802754201443717,True
6,38,0.05483405483405483,18,20,0.9232954545454545,0.5731804852039456,0.3501149693415089,True
7,25,0.03607503607503607,11,14,0.8819930069930069,0.1631231671554252,0.7188698398375817,True
8,25,0.03607503607503607,11,14,0.6512237762237761,0.2256231671554252,0.42560060906835095,True
9,29,0.04184704184704185,11,18,0.7281468531468531,0.2804985337243402,0.44764831942251293,True
10,36,0.05194805194805195,15,21,0.6744652406417112,0.3743465510646436,0.3001186895770676,True
11,35,0.050505050505050504,19,16,0.8793290043290043,0.2561094819159335,0.6232195224130708,True
12,42,0.06060606060606061,23,19,0.6186363636363637,0.362379555927943,0.25625680770842063,True
13,35,0.050505050505050504,17,18,0.4982057416267942,0.030498533724340176,0.467707207902454,True
14,49,0.0707070707070707,23,26,0.7786363636363636,0.09321323837452869,0.6854231252618349,True
15,29,0.04184704184704185,17,12,0.603468899521531,0.3292836196062003,0.27418527991533076,True
16,25,0.03607503607503607,13,12,0.9643939393939394,0.25785504817762883,0.7065388912163105,True
17,41,0.05916305916305916,22,19,0.39441287878787873,0.362379555927943,0.03203332285993571,True
18,34,0.049062049062049064,21,13,0.5854743083003953,0.10733137829912023,0.47814293000127506,True
19,44,0.06349206349206349,24,20,0.8256118881118881,0.6640895761130365,0.1615223119988516,True
20,34,0.049062049062049064,16,18,0.5258838383838383,0.3304985337243402,0.19538530465949816,True
