,robot_is_pr2,final_success_numeric,object_world_x,object_world_y,object_world_z,target_world_x,target_world_y,target_world_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,object_yaw_rad,cut_normal_world_x,cut_normal_world_y,cut_normal_world_yaw_rad
robot_is_pr2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
final_success_numeric,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
object_world_x,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
object_world_y,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
object_world_z,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
target_world_x,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
target_world_y,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
target_world_z,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
object_size_x,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
object_size_y,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
object_size_z,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
object_volume_aabb,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
object_yaw_rad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
cut_normal_world_x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cut_normal_world_y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
cut_normal_world_yaw_rad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
