source,target,edge_type,partial_corr,abs_partial_corr,p_value,conditioning_set
object_size_x,object_size_y,pc_directed,0.999999,0.999999,0.0,"final_success_numeric,object_size_z,object_volume_aabb"
cut_normal_world_yaw_rad,object_yaw_rad,undirected,-0.999999,0.999999,0.0,cut_normal_world_y
object_size_x,object_size_z,pc_directed,0.999999,0.999999,0.0,"final_success_numeric,object_size_y,object_volume_aabb"
object_world_z,target_world_z,undirected,-0.999999,0.999999,0.0,"final_success_numeric,object_world_y,target_world_y"
object_world_y,target_world_y,undirected,-0.999999,0.999999,0.0,"object_world_z,target_world_x,target_world_z"
object_world_x,target_world_x,undirected,-0.999999,0.999999,0.0,"final_success_numeric,object_world_y,target_world_y"
object_size_y,object_size_z,undirected,-0.9999922487746061,0.9999922487746061,0.0,"object_size_x,object_volume_aabb"
cut_normal_world_y,cut_normal_world_yaw_rad,undirected,0.7812288504474446,0.7812288504474446,0.0,object_yaw_rad
cut_normal_world_y,object_yaw_rad,undirected,0.7812288504474446,0.7812288504474446,0.0,cut_normal_world_yaw_rad
object_size_x,object_volume_aabb,pc_directed,0.6996461230958823,0.6996461230958823,0.0,"final_success_numeric,object_size_y,object_size_z"
object_size_y,object_volume_aabb,undirected,-0.699377885987733,0.699377885987733,0.0,"object_size_x,object_size_z"
object_size_z,object_volume_aabb,undirected,-0.6993577052396374,0.6993577052396374,0.0,"object_size_x,object_size_y"
robot_is_pr2,final_success_numeric,background_oriented,0.4366087552343189,0.4366087552343189,0.0,"object_world_z,target_world_x,target_world_z"
object_size_x,final_success_numeric,background_oriented,-0.2551008254082529,0.2551008254082529,8.067102541531312e-12,"robot_is_pr2,target_world_x,target_world_z"
object_world_z,target_world_y,pc_directed,0.2430303998474455,0.2430303998474455,8.029532594377997e-11,"final_success_numeric,object_world_y,target_world_z"
target_world_z,target_world_y,pc_directed,0.23755080158847325,0.23755080158847325,2.1867041510859053e-10,"object_world_y,object_world_z,target_world_x"
object_world_y,object_world_z,pc_directed,0.23755080158847325,0.23755080158847325,2.1867041510859053e-10,"target_world_x,target_world_y,target_world_z"
object_world_y,target_world_z,pc_directed,0.23755080158847314,0.23755080158847314,2.1867041510859053e-10,"object_world_z,target_world_x,target_world_y"
target_world_z,final_success_numeric,background_oriented,-0.19385478429231406,0.19385478429231406,2.658305340297318e-07,"object_world_z,robot_is_pr2,target_world_x"
object_world_z,final_success_numeric,background_oriented,-0.1938547842923133,0.1938547842923133,2.658305340297318e-07,"robot_is_pr2,target_world_x,target_world_z"
object_world_x,target_world_y,pc_directed,0.18891235235313672,0.18891235235313672,5.394577857753546e-07,"final_success_numeric,object_world_y,target_world_x"
target_world_x,target_world_y,pc_directed,0.1889123523531362,0.1889123523531362,5.394577857753546e-07,"final_success_numeric,object_world_x,object_world_y"
object_world_y,object_world_x,pc_directed,0.1889123523531362,0.1889123523531362,5.394577857753546e-07,"final_success_numeric,target_world_x,target_world_y"
object_world_y,target_world_x,undirected,0.17220176237807142,0.17220176237807142,5.140976925277485e-06,"object_world_z,target_world_y,target_world_z"
object_world_x,final_success_numeric,background_oriented,0.14161460385969607,0.14161460385969607,0.0001862794375830923,"robot_is_pr2,target_world_x,target_world_z"
target_world_x,final_success_numeric,background_oriented,0.14161460385969582,0.14161460385969582,0.0001862794375830923,"object_world_z,robot_is_pr2,target_world_z"
